iter	Logloss
0	0.6429315024
1	0.5938219487
2	0.5523800376
3	0.5232888026
4	0.4994095556
5	0.4722316312
6	0.4535912015
7	0.4441333796
8	0.4376053968
9	0.4295037882
10	0.4184614523
11	0.4164879906
12	0.4062977469
13	0.4015645918
14	0.4000626873
15	0.3960557647
16	0.3905828362
17	0.38575441418	0.2876578973
19	0.2838635506
20	0.2796317517
21	0.2757168285
22	0.2675006155
23	0.2616822619
24	0.2566947304
25	0.2534375134
26	0.2466318835
27	0.2420821817
28	0.2299319726
29	0.2270561773
30	0.2201294051
31	0.216918597
32	0.2140456381
33	0.2107298866
34	0.2094987909
35	0.206835239
36	0.2042606208
37	0.1977384819
38	0.1957616462
39	0.1930260007
40	0.1866458987
441	0.213353517442	0.21042898324443	0.3488956797
44	0.3472831094
45	0.3474245407
446	0.368517743
47	0.3671011514
48	0.366233952
49	0.3681774013
50	0.3645763271
51	0.3664207206
52	0.3682882549
53	0.3678220029
54	0.3672604592
55	0.3663946493
56	0.3635252896
57	0.3622085369
58	0.3605140534
59	0.3597613202
60	0.3612825507
61	0.3632295621
62	0.3610178966
63	0.3607887874
64	0.3587158658
65	0.3613704151
66	0.3626831509
67	0.3611281187
68	0.3596533718
69	0.37217770	0.70	0.36928971	0.3819037855
72	0.3822656056773	0.3807665981774	0.378814564375	0.3541191808
76	0.3543076168
777	0.3773350227878	0.3786139879	79	0.3809257380	0.3573135477
81	0.3590880135
82	0.3603882442
83	0.3575955321
84	0.3579721009
85	0.3605733202
8
26766
86	0.1670602664
87	0.1676384701
88	0.165260156
89	0.1650925032
90	0.1649339537
