,Dataset,Amostras,metrica,U1,Pvalue,U2,magnitude,estimate
0,Heart,GA_OPTUNA,F1,622.0,0.0112277644666888,278.0,medium,0.6911111111111111
1,Heart,GA_OPTUNA,Accuracy,606.0,0.0214862322954743,294.0,medium,0.6733333333333333
2,Heart,GA_OPTUNA,AUC,683.0,0.0005873732857736,217.0,large,0.7588888888888888
3,Heart,GA_PSO,F1,900.0,3.019859359162157e-11,0.0,large,1.0
4,Heart,GA_PSO,Accuracy,900.0,3.0122956066832855e-11,0.0,large,1.0
5,Heart,GA_PSO,AUC,896.0,4.504322112705282e-11,4.0,large,0.9955555555555556
6,Heart,GA_Random Search,F1,874.0,3.820159781999325e-10,26.0,large,0.9711111111111111
7,Heart,GA_Random Search,Accuracy,885.0,1.321852644918913e-10,15.0,large,0.9833333333333332
8,Heart,GA_Random Search,AUC,899.0,3.3383888204287995e-11,1.0,large,0.9988888888888888
9,Heart,OPTUNA_Random Search,F1,861.0,1.2870382993242023e-09,39.0,large,0.9566666666666668
10,Heart,OPTUNA_Random Search,Accuracy,900.0,3.002865221010998e-11,0.0,large,1.0
11,Heart,OPTUNA_Random Search,AUC,897.0,4.0771648468253186e-11,3.0,large,0.9966666666666668
12,Heart,OPTUNA_PSO,F1,900.0,3.019859359162157e-11,0.0,large,1.0
13,Heart,OPTUNA_PSO,Accuracy,900.0,3.0122956066832855e-11,0.0,large,1.0
14,Heart,OPTUNA_PSO,AUC,887.0,1.0936695631098952e-10,13.0,large,0.9855555555555556
15,Heart,PSO_Random Search,F1,81.0,5.0921962234840333e-08,819.0,large,0.09
16,Heart,PSO_Random Search,Accuracy,39.0,1.2823168036706003e-09,861.0,large,0.0433333333333333
17,Heart,PSO_Random Search,AUC,230.0,0.0011737583520143,670.0,large,0.2555555555555555
18,Fruit,GA_OPTUNA,F1,492.0,0.5395103167994048,408.0,negligible,0.5466666666666666
19,Fruit,GA_OPTUNA,Accuracy,529.5,0.2426880860455201,370.5,small,0.5883333333333334
20,Fruit,GA_OPTUNA,AUC,606.0,0.0215061799325118,294.0,medium,0.6733333333333333
21,Fruit,GA_PSO,F1,826.0,2.8314487598396373e-08,74.0,large,0.9177777777777778
22,Fruit,GA_PSO,Accuracy,899.0,3.317611298450964e-11,1.0,large,0.9988888888888888
23,Fruit,GA_PSO,AUC,848.0,4.18250049245679e-09,52.0,large,0.9422222222222222
24,Fruit,GA_Random Search,F1,822.0,3.9647653559187287e-08,78.0,large,0.9133333333333332
25,Fruit,GA_Random Search,Accuracy,839.0,9.221066078938584e-09,61.0,large,0.9322222222222222
26,Fruit,GA_Random Search,AUC,900.0,3.019859359162157e-11,0.0,large,1.0
27,Fruit,OPTUNA_Random Search,F1,816.0,6.527736457495676e-08,84.0,large,0.9066666666666666
28,Fruit,OPTUNA_Random Search,Accuracy,825.5,2.9484983441735746e-08,74.5,large,0.9172222222222224
29,Fruit,OPTUNA_Random Search,AUC,900.0,3.019859359162157e-11,0.0,large,1.0
30,Fruit,OPTUNA_PSO,F1,817.0,6.010385631570395e-08,83.0,large,0.9077777777777778
31,Fruit,OPTUNA_PSO,Accuracy,899.0,3.3300636144067504e-11,1.0,large,0.9988888888888888
32,Fruit,OPTUNA_PSO,AUC,812.0,9.063205240555397e-08,88.0,large,0.9022222222222224
33,Fruit,PSO_Random Search,F1,409.0,0.5493267842679926,491.0,negligible,0.4544444444444444
34,Fruit,PSO_Random Search,Accuracy,259.0,0.004854242091686,641.0,medium,0.2877777777777778
35,Fruit,PSO_Random Search,AUC,532.0,0.2282300668074236,368.0,small,0.5911111111111111
36,Wine,GA_OPTUNA,F1,439.0,0.8766349003139949,461.0,negligible,0.4877777777777777
37,Wine,GA_OPTUNA,Accuracy,480.0,0.662734758176107,420.0,negligible,0.5333333333333333
38,Wine,GA_OPTUNA,AUC,588.0,0.0420668213238356,312.0,small,0.6533333333333333
39,Wine,GA_PSO,F1,343.0,0.1153623596920628,557.0,small,0.3811111111111111
40,Wine,GA_PSO,Accuracy,317.0,0.0501202392620013,583.0,small,0.3522222222222222
41,Wine,GA_PSO,AUC,797.0,3.010261602132652e-07,103.0,large,0.8855555555555555
42,Wine,GA_Random Search,F1,898.0,3.6897258539809896e-11,2.0,large,0.9977777777777778
43,Wine,GA_Random Search,Accuracy,900.0,3.019859359162157e-11,0.0,large,1.0
44,Wine,GA_Random Search,AUC,898.0,3.6897258539809896e-11,2.0,large,0.9977777777777778
45,Wine,OPTUNA_Random Search,F1,899.0,3.3383888204287995e-11,1.0,large,0.9988888888888888
46,Wine,OPTUNA_Random Search,Accuracy,900.0,3.019859359162157e-11,0.0,large,1.0
47,Wine,OPTUNA_Random Search,AUC,900.0,3.019859359162157e-11,0.0,large,1.0
48,Wine,OPTUNA_PSO,F1,343.0,0.1153623596920628,557.0,small,0.3811111111111111
49,Wine,OPTUNA_PSO,Accuracy,300.0,0.0270863183882959,600.0,medium,0.3333333333333333
50,Wine,OPTUNA_PSO,AUC,755.0,6.7362128931226e-06,145.0,large,0.8388888888888889
51,Wine,PSO_Random Search,F1,896.0,4.504322112705282e-11,4.0,large,0.9955555555555556
52,Wine,PSO_Random Search,Accuracy,892.0,6.69551896550012e-11,8.0,large,0.9911111111111112
53,Wine,PSO_Random Search,AUC,724.0,5.265008978704173e-05,176.0,large,0.8044444444444444
